"Rank","WSID","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"273","","Ed Dickson","SEA","TE33","7","153","302","239.3","44.4","285.0","+12.0"
"274","","Josh Lambo","JAC","K18","9","162","377","233.4","46.9","260.0","-14.0"
"275","","Gerald Everett","LAR","TE34","12","169","349","237.7","42.7","290.0","+15.0"
"276","","John Kelly","LAR","RB78","12","159","314","258.3","49.7","279.0","+3.0"
"277","","Eric Decker","NE","WR94","11","141","284","226.6","32.2","209.0","-68.0"
"278","","Sam Darnold","NYJ","QB32","11","163","510","254.7","66.0","219.0","-59.0"
"279","","Josh Allen","BUF","QB33","11","172","523","250.5","81.2","270.0","-9.0"
"280","","Cairo Santos","NYJ","K19","11","166","388","253.2","60.6","321.0","+41.0"
"281","","Ka'imi Fairbairn","HOU","K20","10","167","392","254.2","57.0","250.0","-31.0"
"282","","Mack Hollins","PHI","WR95","9","135","370","251.4","58.2","414.0","+132.0"
"283","","Detroit (DET)","","DST23","6","167","376","260.4","55.9","271.0","-12.0"
"284","","Elijah McGuire","NYJ","RB79","11","158","410","255.0","47.0","293.0","+9.0"
"285","","Rod Smith","DAL","RB80","8","169","326","268.4","48.6","272.0","-13.0"
"286","","Antonio Gates","FA","TE35","","166","331","241.7","42.5","299.0","+13.0"
"287","","Jesse James","PIT","TE36","7","142","338","246.3","38.9","310.0","+23.0"
"288","","Kyle Juszczyk","SF","RB81","11","160","346","255.6","53.8","",""
"289","","Adam Shaheen","CHI","TE37","5","160","275","229.5","35.5","308.0","+19.0"
"290","","Taylor Gabriel","CHI","WR96","5","123","292","250.0","39.6","296.0","+6.0"
"291","","James Conner","PIT","RB82","7","168","335","256.6","49.1","222.0","-69.0"
"292","","Steven Hauschka","BUF","K21","11","164","395","264.2","64.1","287.0","-5.0"
"293","","Keke Coutee","HOU","WR97","10","123","397","262.9","61.8","300.0","+7.0"
"294","","Chester Rogers","IND","WR98","9","162","303","251.2","43.8","337.0","+43.0"
"295","","Josh McCown","NYJ","QB34","11","180","319","243.0","38.8","313.0","+18.0"
"296","","Antonio Callaway","CLE","WR99","11","129","345","247.6","49.5","255.0","-41.0"
"297","","Jonathan Stewart","NYG","RB83","9","178","302","243.6","35.6","240.0","-57.0"
"298","","Equanimeous St. Brown","GB","WR100","7","127","382","269.9","62.3","380.0","+82.0"
